date,product_id,category,region,inventory_level,units_sold,units_ordered,price,discount,weather_condition,promotion,competitor_pricing,seasonality,epidemic,demand
2025-01-01,SKU-001,Beverages,North,85.4,34.1,77.2,2.5,0,Sunny,0,2.6,Winter,0,33.5
2025-01-01,SKU-002,Snacks,North,60.5,21.9,54.6,3.2,0,Sunny,0,3.3,Winter,0,22.9
2025-01-01,SKU-003,Dairy,South,29.9,13.8,29.5,4.0,0,Rainy,0,4.1,Winter,0,16.9
2025-01-02,SKU-001,Beverages,North,65.7,56.4,82.5,2.5,0,Sunny,0,2.6,Winter,0,55.6
2025-01-02,SKU-002,Snacks,North,46.4,24.8,47.7,3.2,0,Cloudy,0,3.3,Winter,0,22.9
2025-01-02,SKU-003,Dairy,North,34.1,15.0,26.3,4.0,0,Rainy,0,4.1,Winter,0,14.3
2025-01-03,SKU-001,Beverages,North,84.1,39.6,80.5,2.5,0,Rainy,0,2.6,Winter,0,42.4
2025-01-03,SKU-002,Snacks,South,52.1,24.2,54.9,3.2,0,Rainy,0,3.3,Winter,0,24.8
2025-01-03,SKU-003,Dairy,North,30.2,17.7,32.7,3.6,10,Cloudy,1,4.1,Winter,0,16.3
2025-01-04,SKU-001,Beverages,South,67.4,45.1,83.3,2.5,0,Cloudy,0,2.6,Winter,0,44.7
2025-01-04,SKU-002,Snacks,South,49.3,28.0,44.9,3.2,0,Cloudy,0,3.3,Winter,0,29.8
2025-01-04,SKU-003,Dairy,South,22.1,19.0,27.5,4.0,0,Cloudy,0,4.1,Winter,0,17.4
2025-01-05,SKU-001,Beverages,North,82.6,38.2,79.7,2.5,0,Sunny,0,2.6,Winter,0,38.3
2025-01-05,SKU-002,Snacks,North,50.5,28.9,56.9,3.2,0,Sunny,0,3.3,Winter,0,28.8
2025-01-05,SKU-003,Dairy,South,32.5,13.9,32.7,4.0,0,Rainy,0,4.1,Winter,0,14.8
2025-01-06,SKU-001,Beverages,South,81.8,43.0,79.4,2.5,0,Rainy,0,2.6,Winter,0,42.4
2025-01-06,SKU-002,Snacks,North,45.3,27.7,45.6,3.2,0,Sunny,0,3.3,Winter,0,28.2
2025-01-06,SKU-003,Dairy,North,35.3,19.4,29.5,3.6,10,Rainy,1,4.1,Winter,0,19.9
2025-01-07,SKU-001,Beverages,South,68.7,40.8,83.8,2.5,0,Rainy,0,2.6,Winter,0,40.0
2025-01-07,SKU-002,Snacks,North,48.6,26.0,51.0,2.88,10,Cloudy,1,3.3,Winter,0,26.1
2025-01-07,SKU-003,Dairy,South,17.0,15.5,34.4,4.0,0,Rainy,0,4.1,Winter,0,14.9
2025-01-08,SKU-001,Beverages,North,74.2,49.5,78.1,2.5,0,Sunny,0,2.6,Winter,0,48.0
2025-01-08,SKU-002,Snacks,South,40.5,32.3,51.1,3.2,0,Cloudy,0,3.3,Winter,0,27.9
2025-01-08,SKU-003,Dairy,North,34.0,14.6,27.1,4.0,0,Cloudy,0,4.1,Winter,0,15.6
2025-01-09,SKU-001,Beverages,North,86.3,35.8,72.6,2.5,0,Sunny,0,2.6,Winter,0,34.9
2025-01-09,SKU-002,Snacks,North,49.2,24.0,51.7,3.2,0,Rainy,0,3.3,Winter,0,22.6
2025-01-09,SKU-003,Dairy,North,29.8,16.5,32.3,3.6,10,Sunny,1,4.1,Winter,0,16.3
2025-01-10,SKU-001,Beverages,South,74.0,47.2,81.0,2.5,0,Cloudy,0,2.6,Winter,0,46.3
2025-01-10,SKU-002,Snacks,South,37.6,38.3,46.3,2.88,10,Rainy,1,3.3,Winter,0,36.1
2025-01-10,SKU-003,Dairy,South,34.1,14.7,33.8,4.0,0,Cloudy,0,4.1,Winter,0,15.5
2025-01-11,SKU-001,Beverages,North,72.9,40.2,77.7,2.5,0,Rainy,0,2.6,Winter,0,44.0
2025-01-11,SKU-002,Snacks,South,54.3,26.7,51.6,3.2,0,Rainy,0,3.3,Winter,0,25.9
2025-01-11,SKU-003,Dairy,South,21.9,18.3,32.9,4.0,0,Cloudy,0,4.1,Winter,0,17.5
2025-01-12,SKU-001,Beverages,South,88.9,30.5,82.2,2.5,0,Sunny,0,2.6,Winter,0,30.9
2025-01-12,SKU-002,Snacks,North,49.1,21.3,48.5,3.2,0,Sunny,0,3.3,Winter,0,22.5
2025-01-12,SKU-003,Dairy,North,34.5,15.8,30.2,4.0,0,Sunny,0,4.1,Winter,0,13.0
2025-01-13,SKU-001,Beverages,North,81.7,42.8,78.2,2.5,0,Cloudy,0,2.6,Winter,0,44.3
2025-01-13,SKU-002,Snacks,North,58.4,23.8,50.0,3.2,0,Sunny,0,3.3,Winter,0,23.4
2025-01-13,SKU-003,Dairy,North,25.1,14.2,25.5,4.0,0,Rainy,0,4.1,Winter,0,14.4
2025-01-14,SKU-001,Beverages,South,73.9,37.1,81.1,2.5,0,Rainy,0,2.6,Winter,0,34.7
2025-01-14,SKU-002,Snacks,North,51.2,31.6,50.4,2.88,10,Sunny,1,3.3,Winter,0,35.4
2025-01-14,SKU-003,Dairy,South,40.0,15.7,31.9,4.0,0,Sunny,0,4.1,Winter,0,14.8
2025-01-15,SKU-001,Beverages,South,73.3,42.8,85.0,2.25,10,Rainy,1,2.6,Winter,0,46.8
2025-01-15,SKU-002,Snacks,South,52.1,27.7,53.8,2.88,10,Sunny,1,3.3,Winter,0,28.4
2025-01-15,SKU-003,Dairy,North,17.3,21.0,35.5,4.0,0,Rainy,0,4.1,Winter,0,20.6
2025-01-16,SKU-001,Beverages,South,79.0,44.5,81.8,2.5,0,Sunny,0,2.6,Winter,0,40.8
2025-01-16,SKU-002,Snacks,South,47.7,25.1,50.4,3.2,0,Cloudy,0,3.3,Winter,0,24.8
2025-01-16,SKU-003,Dairy,South,22.8,17.3,31.4,4.0,0,Cloudy,0,4.1,Winter,0,15.8
2025-01-17,SKU-001,Beverages,South,51.6,58.9,83.8,2.25,10,Sunny,1,2.6,Winter,0,57.1
2025-01-17,SKU-002,Snacks,North,48.3,29.2,53.2,3.2,0,Cloudy,0,3.3,Winter,0,29.0
2025-01-17,SKU-003,Dairy,South,37.6,15.2,27.1,4.0,0,Rainy,0,4.1,Winter,0,14.8
2025-01-18,SKU-001,Beverages,North,84.7,38.0,79.4,2.5,0,Sunny,0,2.6,Winter,0,38.7
2025-01-18,SKU-002,Snacks,North,62.1,22.3,55.1,3.2,0,Cloudy,0,3.3,Winter,0,23.4
2025-01-18,SKU-003,Dairy,South,28.3,17.6,33.2,4.0,0,Sunny,0,4.1,Winter,0,18.8
2025-01-19,SKU-001,Beverages,South,81.1,39.0,82.8,2.5,0,Sunny,0,2.6,Winter,0,37.4
2025-01-19,SKU-002,Snacks,South,49.5,27.4,49.6,3.2,0,Cloudy,0,3.3,Winter,0,25.7
2025-01-19,SKU-003,Dairy,North,18.8,27.2,27.6,3.6,10,Cloudy,1,4.1,Winter,0,25.1
2025-01-20,SKU-001,Beverages,North,67.7,54.4,78.3,2.5,0,Sunny,0,2.6,Winter,0,53.6
2025-01-20,SKU-002,Snacks,South,52.8,26.6,49.3,3.2,0,Rainy,0,3.3,Winter,0,27.6
2025-01-20,SKU-003,Dairy,South,36.5,9.9,29.4,4.0,0,Sunny,0,4.1,Winter,0,12.8
2025-01-21,SKU-001,Beverages,North,89.3,38.1,77.4,2.5,0,Rainy,0,2.6,Winter,0,38.5
2025-01-21,SKU-002,Snacks,North,49.5,32.7,44.3,2.88,10,Sunny,1,3.3,Winter,0,34.7
2025-01-21,SKU-003,Dairy,South,24.2,20.2,31.2,4.0,0,Sunny,0,4.1,Winter,0,18.0
2025-01-22,SKU-001,Beverages,South,91.3,29.9,80.0,2.5,0,Sunny,0,2.6,Winter,0,27.6
